 dim,batch_count,sec_per_dgemm,
            2 ,            1 ,   8.8000001E-05 ,
            4 ,            1 ,   3.3000000E-05 ,
            8 ,            1 ,   3.1000000E-05 ,
           16 ,            1 ,   3.3000000E-05 ,
           32 ,            1 ,   3.7999998E-05 ,
            2 ,            2 ,   1.6000000E-05 ,
            4 ,            2 ,   1.5500000E-05 ,
            8 ,            2 ,   1.5500000E-05 ,
           16 ,            2 ,   1.6500000E-05 ,
           32 ,            2 ,   1.8500001E-05 ,
            2 ,            4 ,   8.5000001E-06 ,
            4 ,            4 ,   7.7499999E-06 ,
            8 ,            4 ,   8.0000000E-06 ,
           16 ,            4 ,   8.5000001E-06 ,
           32 ,            4 ,   9.0000003E-06 ,
            2 ,            8 ,   4.3750001E-06 ,
            4 ,            8 ,   4.0000000E-06 ,
            8 ,            8 ,   4.1250000E-06 ,
           16 ,            8 ,   4.1250000E-06 ,
           32 ,            8 ,   4.6250002E-06 ,
            2 ,           16 ,   2.8125000E-06 ,
            4 ,           16 ,   2.5625000E-06 ,
            8 ,           16 ,   2.4999999E-06 ,
           16 ,           16 ,   2.2500001E-06 ,
           32 ,           16 ,   2.3125001E-06 ,
            2 ,           32 ,   2.3125001E-06 ,
            4 ,           32 ,   2.0625000E-06 ,
            8 ,           32 ,   1.9375000E-06 ,
           16 ,           32 ,   1.6250000E-06 ,
           32 ,           32 ,   1.6875000E-06 ,
            2 ,           64 ,   2.1406249E-06 ,
            4 ,           64 ,   1.7656250E-06 ,
            8 ,           64 ,   1.7343750E-06 ,
           16 ,           64 ,   1.2812500E-06 ,
           32 ,           64 ,   1.2656250E-06 ,
            2 ,          128 ,   2.0468749E-06 ,
            4 ,          128 ,   1.7265625E-06 ,
            8 ,          128 ,   1.6562500E-06 ,
           16 ,          128 ,   1.1484375E-06 ,
           32 ,          128 ,   1.0156250E-06 ,
            2 ,          256 ,   1.9804688E-06 ,
            4 ,          256 ,   1.5937500E-06 ,
            8 ,          256 ,   1.5664062E-06 ,
           16 ,          256 ,   1.1054688E-06 ,
           32 ,          256 ,   9.3359375E-07 ,
            2 ,          512 ,   1.9492188E-06 ,
            4 ,          512 ,   1.5722657E-06 ,
            8 ,          512 ,   1.5332031E-06 ,
           16 ,          512 ,   1.0703125E-06 ,
           32 ,          512 ,   8.7304687E-07 ,
            2 ,         1024 ,   1.9335937E-06 ,
            4 ,         1024 ,   1.5556641E-06 ,
            8 ,         1024 ,   1.5224609E-06 ,
           16 ,         1024 ,   1.0458984E-06 ,
           32 ,         1024 ,   8.5449221E-07 ,
            2 ,         2048 ,   1.9238282E-06 ,
            4 ,         2048 ,   1.5463867E-06 ,
            8 ,         2048 ,   1.5112305E-06 ,
           16 ,         2048 ,   1.0288086E-06 ,
           32 ,         2048 ,   8.2568357E-07 ,
            2 ,         4096 ,   1.9001465E-06 ,
            4 ,         4096 ,   1.5256347E-06 ,
            8 ,         4096 ,   1.4926758E-06 ,
           16 ,         4096 ,   1.0234374E-06 ,
           32 ,         4096 ,   8.0908205E-07 ,
            2 ,         8192 ,   1.8978271E-06 ,
            4 ,         8192 ,   1.5235596E-06 ,
            8 ,         8192 ,   1.4906005E-06 ,
           16 ,         8192 ,   1.0207519E-06 ,
           32 ,         8192 ,   8.0700681E-07 ,
            2 ,        16384 ,   1.9067993E-06 ,
            4 ,        16384 ,   1.5225220E-06 ,
            8 ,        16384 ,   1.4156494E-06 ,
           16 ,        16384 ,   9.3109134E-07 ,
           32 ,        16384 ,   7.3242188E-07 ,
            2 ,        32768 ,   1.7343750E-06 ,
            4 ,        32768 ,   1.3925782E-06 ,
            8 ,        32768 ,   1.3631592E-06 ,
           16 ,        32768 ,   9.2959596E-07 ,
           32 ,        32768 ,   7.2833251E-07 ,
